Activity type,Duration,From,To,Comment
Games,1.7,9/26/18 23:12,9/27/18 0:52,
Study,3.4,9/26/18 19:48,9/26/18 23:12,
Eat,0.7,9/26/18 19:04,9/26/18 19:48,
Housework,1.3,9/26/18 17:49,9/26/18 19:04,
Sleep,1.8,9/26/18 15:58,9/26/18 17:48,
Games,0.4,9/26/18 15:32,9/26/18 15:58,
Study,1.2,9/26/18 14:21,9/26/18 15:32,
Games,1.5,9/26/18 12:52,9/26/18 14:21,
Eat,0.8,9/26/18 12:01,9/26/18 12:49,
Work,2.4,9/26/18 9:37,9/26/18 12:01,
Sleep,6.8,9/26/18 2:48,9/26/18 9:37,
Games,0.8,9/26/18 2:01,9/26/18 2:47,
Internet,1.6,9/26/18 0:22,9/26/18 2:00,
Study,0.7,9/25/18 23:36,9/26/18 0:21,
Games,2.3,9/25/18 21:21,9/25/18 23:36,
Shower,0.2,9/25/18 21:10,9/25/18 21:20,
Sport,1.1,9/25/18 20:14,9/25/18 21:20,
Study,3.7,9/25/18 16:32,9/25/18 20:14,
Eat,0.3,9/25/18 16:16,9/25/18 16:32,
Study,2.5,9/25/18 13:44,9/25/18 16:16,
Games,0.3,9/25/18 13:28,9/25/18 13:44,
Eat,0.6,9/25/18 12:53,9/25/18 13:28,
Study,1,9/25/18 11:53,9/25/18 12:53,
Games,2.5,9/25/18 9:26,9/25/18 11:53,
Sleep,8.8,9/25/18 0:35,9/25/18 9:26,
Read,0,9/25/18 0:35,9/25/18 0:35,
Read,0.9,9/24/18 23:40,9/25/18 0:35,
Games,0.6,9/24/18 23:09,9/24/18 23:47,
Games,0.5,9/24/18 22:41,9/24/18 23:09,
Work,4.1,9/24/18 18:36,9/24/18 22:41,
Eat,0.3,9/24/18 18:14,9/24/18 18:35,
Internet,1.1,9/24/18 17:07,9/24/18 18:14,
Games,1.2,9/24/18 15:57,9/24/18 17:07,
Study,2.6,9/24/18 13:21,9/24/18 15:57,
Video,0.5,9/24/18 12:52,9/24/18 13:21,
Eat,0.9,9/24/18 12:01,9/24/18 12:52,
Scheduling,0.2,9/24/18 11:50,9/24/18 12:01,
Internet,1.8,9/24/18 10:00,9/24/18 11:50,
Sleep,6.2,9/24/18 3:49,9/24/18 10:00,
Internet,3,9/24/18 0:50,9/24/18 3:49,
Games,1,9/23/18 23:49,9/24/18 0:50,
Chat,2.5,9/23/18 21:21,9/23/18 23:49,
Chat,0.5,9/23/18 20:52,9/23/18 21:21,
Games,1.1,9/23/18 19:48,9/23/18 20:52,
Shop,0.6,9/23/18 19:15,9/23/18 19:48,
Eat,2.8,9/23/18 16:20,9/23/18 19:08,
Transport,0.7,9/23/18 15:39,9/23/18 16:20,
Shower,0.5,9/23/18 15:11,9/23/18 15:39,
Sleep,9.2,9/23/18 1:20,9/23/18 10:35,
Games,1.2,9/22/18 23:16,9/23/18 0:28,
Transport,0.6,9/22/18 17:56,9/22/18 18:33,
Eat,0.9,9/22/18 12:07,9/22/18 13:00,
Study,0.5,9/22/18 11:01,9/22/18 11:32,
Internet,2,9/22/18 9:01,9/22/18 11:01,
Sleep,6.5,9/22/18 2:30,9/22/18 9:01,
Games,2.7,9/21/18 22:49,9/22/18 1:29,
Study,1.3,9/21/18 21:28,9/21/18 22:47,
Study,1.3,9/21/18 20:12,9/21/18 21:28,
Sleep,1,9/21/18 18:43,9/21/18 19:43,
Eat,1,9/21/18 14:43,9/21/18 15:43,
Games,3,9/21/18 11:43,9/21/18 14:43,
Meetings ,1.7,9/21/18 9:58,9/21/18 11:43,
Work,2.7,9/21/18 6:51,9/21/18 9:32,
Work,1,9/21/18 6:50,9/21/18 7:51,
Sleep,6.8,9/20/18 23:59,9/21/18 6:50,
Chat,0.9,9/20/18 23:08,9/20/18 23:59,
Study,2.8,9/20/18 20:19,9/20/18 23:08,
Eat,0.9,9/20/18 19:24,9/20/18 20:19,
Work,5.4,9/20/18 14:00,9/20/18 19:24,
Games,0.1,9/20/18 13:55,9/20/18 14:00,
Work,1.2,9/20/18 12:43,9/20/18 13:55,
Eat,0.9,9/20/18 11:48,9/20/18 12:43,
Work,1.2,9/20/18 10:38,9/20/18 11:48,
Eat,1,9/20/18 9:40,9/20/18 10:38,
Sleep,8.5,9/20/18 1:10,9/20/18 9:40,
Scheduling,0.3,9/20/18 0:49,9/20/18 1:10,
Games,0.1,9/20/18 0:45,9/20/18 0:49,
Games,1.1,9/19/18 23:32,9/20/18 0:38,
Study,2.4,9/19/18 21:09,9/19/18 23:32,
Internet,0.9,9/19/18 20:18,9/19/18 21:09,
Video,0.9,9/19/18 19:21,9/19/18 20:18,
Eat,1.5,9/19/18 17:50,9/19/18 19:21,
Games,0.6,9/19/18 17:05,9/19/18 17:44,
Transport,0.3,9/19/18 16:51,9/19/18 17:08,
Meetings ,1.2,9/19/18 14:05,9/19/18 15:19,
Transport,0.3,9/19/18 13:46,9/19/18 14:05,
Shower,0.5,9/19/18 13:18,9/19/18 13:46,
Eat,1.5,9/19/18 11:47,9/19/18 13:18,
Work,1.8,9/19/18 9:57,9/19/18 11:46,
Eat,0.4,9/19/18 9:34,9/19/18 9:57,
Sleep,0.9,9/19/18 8:43,9/19/18 9:34,
Sleep,7.2,9/19/18 1:30,9/19/18 8:43,
Work,2,9/18/18 23:30,9/19/18 1:29,
Games,0.3,9/18/18 23:09,9/18/18 23:28,
Work,0.5,9/18/18 22:36,9/18/18 23:09,
Chat,1.2,9/18/18 20:44,9/18/18 21:55,
Work,2.8,9/18/18 17:54,9/18/18 20:44,
Eat,0.8,9/18/18 17:06,9/18/18 17:54,
Work,2.5,9/18/18 14:34,9/18/18 17:06,
Video,1.4,9/18/18 13:11,9/18/18 14:34,
Sleep,1.5,9/18/18 11:38,9/18/18 13:11,
Work,0.1,9/18/18 11:30,9/18/18 11:38,
Eat,0.5,9/18/18 11:01,9/18/18 11:29,
Work,0.5,9/18/18 10:28,9/18/18 11:01,
Games,1,9/18/18 9:31,9/18/18 10:28,
Work,0.1,9/18/18 9:26,9/18/18 9:30,
Sleep,0,9/18/18 9:24,9/18/18 9:26,
Games,0,9/18/18 9:24,9/18/18 9:24,
Video,0.7,9/18/18 8:44,9/18/18 9:24,
Scheduling,0.6,9/18/18 8:10,9/18/18 8:43,
Eat,0.9,9/18/18 7:18,9/18/18 8:10,
Sleep,6.5,9/18/18 0:47,9/18/18 7:18,
Games,0.4,9/18/18 0:16,9/18/18 0:43,
Video,0.1,9/18/18 0:06,9/18/18 0:14,
Scheduling,0.3,9/17/18 23:49,9/18/18 0:06,
Study,0,9/17/18 23:47,9/17/18 23:49,
Work,0.3,9/17/18 23:29,9/17/18 23:47,
Work,1,9/17/18 22:31,9/17/18 23:29,
Chat,1.2,9/17/18 21:18,9/17/18 22:29,
Sleep,1.5,9/17/18 19:33,9/17/18 21:05,
Eat,1.5,9/17/18 18:02,9/17/18 19:32,
Scheduling,0.5,9/17/18 17:32,9/17/18 18:02,
Eat,0,9/17/18 17:30,9/17/18 17:32,
Games,2.1,9/17/18 15:25,9/17/18 17:30,
Meetings ,1.2,9/17/18 14:14,9/17/18 15:25,
Eat,0.8,9/17/18 13:24,9/17/18 14:13,
Work,6.4,9/17/18 7:01,9/17/18 13:24,
Eat,0.7,9/17/18 6:22,9/17/18 7:01,
Sleep,0,9/17/18 6:21,9/17/18 6:22,
Sleep,5,9/17/18 1:22,9/17/18 6:22,
Study,10.4,9/5/18 9:17,9/5/18 19:43,
Study,0.8,9/5/18 8:31,9/5/18 9:16,
Work,0,9/5/18 8:30,9/5/18 8:31,
Eat,0.5,9/5/18 8:01,9/5/18 8:30,
Sleep,7,9/5/18 1:01,9/5/18 8:01,
Games,3,8/31/18 21:00,8/31/18 23:59,
Study,2,8/31/18 19:00,8/31/18 21:00,
Games,2,8/31/18 17:00,8/31/18 19:00,
Meetings ,2.1,8/31/18 14:53,8/31/18 17:00,
Sleep,6.7,8/31/18 1:14,8/31/18 7:55,
Games,3,8/30/18 22:14,8/31/18 1:14,
Work,4.7,8/30/18 17:34,8/30/18 22:14,
Games,1,8/30/18 16:33,8/30/18 17:33,
Work,2.5,8/30/18 14:02,8/30/18 16:33,
Work,1.9,8/30/18 12:04,8/30/18 14:00,
Work,1.4,8/30/18 10:42,8/30/18 12:04,
Work,1,8/30/18 9:42,8/30/18 10:43,
Sleep,8.3,8/30/18 1:24,8/30/18 9:42,
Work,0.9,8/30/18 0:29,8/30/18 1:24,
Games,4,8/29/18 20:24,8/30/18 0:24,
